Product,Category,Price,Discount,Promotion,Rating,Reviews,Source
,watches,"₹12,499",11% off,No promotion,3.9 out of 5 stars,112,Amazon
,watches,"₹27,900",,No promotion,4.5 out of 5 stars,406,Amazon
,watches,"₹2,834",,No promotion,4.3 out of 5 stars,"1,821",Amazon
,watches,"₹7,395",,No promotion,4.4 out of 5 stars,284,Amazon
,watches,"₹1,499",79% off,No promotion,3.9 out of 5 stars,"24,193",Amazon
,watches,"₹4,617.25",45% off,No promotion,4.2 out of 5 stars,9,Amazon
,watches,"₹1,499",46% off,No promotion,3.9 out of 5 stars,"15,762",Amazon
,watches,"₹6,896",40% off,No promotion,4.4 out of 5 stars,"2,537",Amazon
,watches,"₹2,495",,No promotion,4.5 out of 5 stars,637,Amazon
,watches,"₹5,495",,No promotion,4.5 out of 5 stars,480,Amazon
,watches,"₹1,395",,No promotion,4.4 out of 5 stars,398,Amazon
,watches,"₹1,245",,No promotion,4.2 out of 5 stars,"1,039",Amazon
,watches,₹625,,No promotion,4.2 out of 5 stars,"1,212",Amazon
,watches,₹0,,No promotion,,,Amazon
,watches,"₹1,499",93% off,No promotion,3.8 out of 5 stars,324,Amazon
,watches,"₹13,499",25% off,No promotion,4.6 out of 5 stars,5,Amazon
,watches,"₹1,199",90% off,No promotion,4.0 out of 5 stars,"36,064",Amazon
,watches,"₹7,995",,No promotion,4.2 out of 5 stars,"3,103",Amazon
,watches,"₹1,599",82% off,No promotion,,,Amazon
,watches,"₹1,299",81% off,No promotion,4.1 out of 5 stars,"2,285",Amazon
,watches,₹479,40% off,No promotion,4.2 out of 5 stars,202,Amazon
,watches,"₹5,995",,No promotion,4.3 out of 5 stars,"7,416",Amazon
,watches,"₹5,996",33% off,No promotion,4.2 out of 5 stars,12,Amazon
,watches,₹825,,No promotion,4.3 out of 5 stars,"1,186",Amazon
,watches,"₹2,495",,No promotion,4.3 out of 5 stars,372,Amazon
,watches,"₹1,699",43% off,No promotion,3.9 out of 5 stars,"15,762",Amazon
